web-scraper-order,web-scraper-start-url,nome,esporte,perfil,perfil-href,ficha,bio
"1649262411-448","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=5","Daniela Alves","Futebol","Daniela Alves
																													

														
															Futebol
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/daniela-alves-lima/","Nome completo: Daniela Alves Lima

                                                        
                                                        
                                                                                                                    Data de nascimento: 12/01/1984

                                                        
                                                                                                                    Local de nascimento: São Paulo, SP","Aos 15 anos, Daniela Alves foi convocada para disputar o Mundial dos Estados Unidos. No entanto, acabou não disputando a competição, pois a Fifa proibia a participação de atletas com menos de 16 anos. Além dos desarmes, a volante tinha os chutes de longa distância como principal arma. Após os Jogos Olímpicos Pequim 2008, Daniela Alves sofreu uma séria lesão e ficou afastada dos gramados por um ano. Em 2009, decidiu encerrar sua carreira e se tornou treinadora."
"1649260768-211","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=12","Natália Gaudio","Ginástica Rítmica","Natália Gaudio
																													

														
															Ginástica Rítmica
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/natalia-azevedo-gaudio/","Nome completo: Natália Azevedo Gaudio

                                                        
                                                        
                                                                                                                    Data de nascimento: 18/12/1992

                                                        
                                                                                                                    Local de nascimento: Vitória, ES","Além de ter disputado os Jogos Olímpicos Rio 2016, Natália Gaudio tem no currículo participações nos Jogos Pan-americanos Toronto 2015 e Lima 2019. Nesta última, inclusive, conquistou a medalha de bronze no individual geral."
"1649261970-385","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=7","Fernanda Venturini","Vôlei","Fernanda Venturini
																													

														
															Vôlei
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/fernanda-porto-venturini/","Nome completo: Fernanda Porto Venturini

                                                        
                                                        
                                                                                                                    Data de nascimento: 24/10/1970

                                                        
                                                                                                                    Local de nascimento: Araraquara, SP","Uma das melhores levantadoras do vôlei feminino brasileiro, Fernanda Venturini estreou em Jogos Olímpicos na edição de Seul 1988, jogando como ponteira. A partir de Barcelona 1992, já na posição que a consagrou, começou a ganhar espaço na equipe e, em Atlanta 1996, foi uma das líderes da equipe na conquista da medalha de bronze. Grávida, ficou fora de Sidney 2000. Mas voltou a defender a seleção em Atenas 2004. Após se aposentar em 2007, Venturini retornou às quadras em 2011, após pedido do marido Bernardinho, que precisava de uma levantadora na equipe do Rio de Janeiro."
"1649262947-525","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=2","Ana Paula Henkel","Vôlei","Ana Paula Henkel
																													

														
															Vôlei
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/ana-paula-rodrigues-henkel/","Nome completo: Ana Paula Rodrigues Henkel

                                                        
                                                        
                                                                                                                    Data de nascimento: 13/02/1972

                                                        
                                                                                                                    Local de nascimento: Lavras, MG","Ana Paula disputou quatro edições dos Jogos Olímpicos, sendo as duas primeiras na quadra (Barcelona 1992 e Atlanta 1996) e as outras duas na praia (Atenas 2004 e Pequim 2008). Nas quadras, a meio de rede integrou a equipe que conquistou a primeira medalha olímpica do vôlei feminino brasileiro. No ciclo olímpico de Sidney 2000, Ana Paula tentou a sorte nas areias. Formou uma dupla com Jackie Silva, mas as duas romperam a parceria a meses dos Jogos. Tentou ainda se classificar jogando ao lado da vice-campeã olímpica Mônica, mas não obteve a vaga. Em Atenas 2004, disputou os Jogos ao lado de Sandra Pires e, em Pequim 2008, com Larissa, que precisou de companheira às pressas com a lesão de Juliana."
"1649260084-113","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=16","Shelda","Vôlei de praia","Shelda
																													

														
															Vôlei de praia
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/shelda-kelly-bruno-bede/","Nome completo: Shelda Kelly Bruno Bedê

                                                        
                                                        
                                                                                                                    Data de nascimento: 01/01/1973

                                                        
                                                                                                                    Local de nascimento: Fortaleza, CE","Shelda compensava a baixa estatura (1,65m) com uma técnica apurada. Após começar a jogar vôlei em sua cidade-natal, Fortaleza, decidiu se arriscar na praia. Em 1995, mudou-se para o Rio de Janeiro e formou dupla com Adriana Behar. A parceria durou 12 anos e rendeu duas medalhas de prata olímpicas. Com a aposentadoria da companheira em 2007, Shelda passou a jogar ao lado de Ana Paula e conquistou o Circuito Mundial de 2008."
"1649259987-99","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=16","Thaisa Daher","Vôlei","Thaisa Daher
																													

														
															Vôlei
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/thaisa-daher-de-menezes/","Nome completo: Thaisa Daher de Menezes

                                                        
                                                        
                                                                                                                    Data de nascimento: 15/05/1987

                                                        
                                                                                                                    Local de nascimento: Rio de Janeiro, RJ","Uma das jogadoras mais altas do vôlei mundial (1,96m), Thaisa é peça fundamental na seleção brasileira. Sua primeira experiência em um grande torneio pela seleção brasileira foi o Grand Prix de 2006, quando conquistou o título da competição. No ano seguinte, venceu a concorrência de Carol Gattaz para disputar os Jogos Pan-americanos Rio 2007 em sua casa. A partir dali, Thaisa se transformou em uma das líderes da equipe. A central é bicampeã olímpica (Pequim 2008 e Londres 2012), ouro nos Jogos Pan-americanos Guadalajara 2011 e prata no Rio 2007, pentacampeã do Grand Prix (2008, 2009, 2013, 2014 e 2016) e ainda vice-campeã mundial pela seleção brasileira, em 2010."
"1649261844-366","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=7","Gabriel Vasconcellos","Futebol","Gabriel Vasconcellos
																													

														
															Futebol
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/gabriel-vasconcellos-ferreira/","Nome completo: Gabriel Vasconcellos Ferreira

                                                        
                                                        
                                                                                                                    Data de nascimento: 27/09/1992

                                                        
                                                                                                                    Local de nascimento: Unaí, MG","Após se destacar nas categorias de base do Cruzeiro, Gabriel foi convocado para defender a seleção brasileira no Mundial Sub-20, em 2011, e nos Jogos Olímpicos Londres 2012. Logo depois, acabou negociado com o Milan, da Itália. No país, defendeu também o Carpi e o Napoli."
"1649260394-157","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=14","Richarlison","Futebol","Richarlison
																													

														
															Futebol
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/richarlison/","Nome completo: Richarlison de Andrade

                                                        
                                                        
                                                                                                                    Data de nascimento: 10/05/1997

                                                        
                                                                                                                    Local de nascimento: Nova Venécia, ES",""
"1649262988-531","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=2","Ana Claudia Lemos","Atletismo","Ana Claudia Lemos
																													

														
															Atletismo
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/ana-claudia-lemos-silva/","Nome completo: Ana Claudia Lemos Silva

                                                        
                                                        
                                                                                                                    Data de nascimento: 06/11/1988

                                                        
                                                                                                                    Local de nascimento: Jaguaretama, CE","Ana Cláudia jogava futebol em Criciúma quando foi descoberta por professores de atletismo, que ficaram impressionados com sua velocidade. A medalhista de ouro nos Jogos Pan-americanos Guadalajara 2011 (200m e 4x100m) teve experiências completamente distintas em Jogos Olímpicos: foi reserva em Pequim 2008, titular em Londres 2012 e acabou cortada do Rio 2016 por causa de uma lesão no joelho direito."
"1649260739-208","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=13","Nelson Pessoa","Hipismo Saltos","Nelson Pessoa
																													

														
															Hipismo Saltos
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/nelson-pessoa-filho/","Nome completo: Nelson Pessoa Filho

                                                        
                                                        
                                                                                                                    Data de nascimento: 16/12/1935

                                                        
                                                                                                                    Local de nascimento: Rio de Janeiro, RJ","Os mais jovens podem até conhecê-lo como o pai do campeão olímpico Rodrigo Pessoa, mas Nelson, também conhecido como Neco, foi um dos maiores cavaleiros do país. Disputou cinco edições de Jogos Olímpicos como atleta, tendo a companhia do filho em sua despedida, Barcelona 1992. Nas edições seguintes, de Atlanta 1996 e Sydney 2000, Neco foi o treinador da equipe brasileira que conquistou as medalhas de bronze por equipe."
"1649262184-415","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=6","Edu Penido","Vela","Edu Penido
																													

														
															Vela
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/eduardo-henrique-gomes-penido/","Nome completo: Eduardo Henrique Gomes Penido

                                                        
                                                        
                                                                                                                    Data de nascimento: 23/01/1960

                                                        
                                                                                                                    Local de nascimento: Rio de Janeiro, RJ","O proeiro tinha apenas vinte anos quando conquistou a medalha de ouro olímpica, ao lado de Marcos Soares. A parceria, por sinal, recebeu o apelido de “Meninos do Rio”. Porém, após Moscou 1980, Edu Penido passou a se dedicar mais à vela oceânica, uma das grandes paixões do pai, José Penido. Atualmente, trabalha como delivery de barcos e construtor de embarcações."
"1649261462-312","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=9","José Ferreira Neto","Futebol","José Ferreira Neto
																													

														
															Futebol
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/jose-ferreira-neto/","Nome completo: José Ferreira Neto

                                                        
                                                        
                                                                                                                    Data de nascimento: 09/09/1966

                                                        
                                                                                                                    Local de nascimento: Santo Antônio de Posse, SP","Neto atuou pelos quatro grandes clubes de São Paulo, mas se tornou ídolo do Corinthians. O meia iniciou sua carreira em outra equipe paulista, o Guarani. Talentoso e especialista em cobranças de faltas, Neto tinha personalidade forte. Pela seleção brasileira, conquistou medalhas de prata nos Jogos Pan-americanos Caracas 1983 e nos Jogos Olímpicos Seul 1988. Assim que encerrou a carreira, trabalhou como diretor de futebol. Depois, passou a trabalhar como apresentador e comentarista na televisão."
"1649260158-123","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=15","Sarah Menezes","Judô","Sarah Menezes
																													

														
															Judô
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/sarah-gabrielle-cabral-de-menezes/","Nome completo: Sarah Gabrielle Cabral de Menezes

                                                        
                                                        
                                                                                                                    Data de nascimento: 26/03/1990

                                                        
                                                                                                                    Local de nascimento: Teresina, PI","A estreia da piauiense em Jogos Olímpicos, em Pequim 2008, não foi das melhores: derrota logo na estreia. No entanto, a experiência adquirida foi fundamental para a conquista da primeira medalha de ouro olímpica de uma judoca brasileira, em Londres 2012. Vencedora do Prêmio Brasil Olímpico de 2009, Sarah Menezes é um exemplo bem-sucedido de atleta que passou com sucesso pelos Jogos Escolares, sendo bicampeã da competição."
"1649262576-472","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=4","Carol Albuquerque","Vôlei","Carol Albuquerque
																													

														
															Vôlei
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/carolina-demartini-albuquerque/","Nome completo: Carolina Demartini Albuquerque

                                                        
                                                        
                                                                                                                    Data de nascimento: 25/07/1977

                                                        
                                                                                                                    Local de nascimento: Porto Alegre, RS","Carol Albuquerque começou a jogar vôlei aos nove anos. Aos 16, já pensando em se tornar uma jogadora profissional, deixou a cidade-natal, Porto Alegre, para tentar a sorte em São Paulo. Chegou à seleção brasileira no final dos anos 1990, sagrando-se campeã dos Jogos Pan-americanos Winnipeg 1999. Interrompeu a carreira para ser mãe, mas voltou a ser convocada e integrou a equipe campeã olímpica em Pequim 2008."
"1649260485-171","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=14","Rayssa Leal","Skate","Rayssa Leal
																													

														
															Skate
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/rayssa-leal/","Nome completo: Jhulia Rayssa Mendes Leal

                                                        
                                                        
                                                                                                                    Data de nascimento: 04/01/2008

                                                        
                                                                                                                    Local de nascimento: Imperatriz, MA","Rayssa Leal conquistou a medalha de prata no street nos Jogos Olímpicos de Tóquio e encantou o mundo ao torcer pelas outras atletas durante a disputa. Com isso, ela venceu o The Visa Awards, prêmio que reconhece o atleta que mais representou os Valores Olímpicos durante os Jogos. A campeã mundial de 2019 e bronze em 2021 ficou famosa na internet ao publicar um vídeo realizando manobras de skate fantasiada de Sininho, personagem de Peter Pan. As imagens viralizaram, e a adolescente passou a ser chamada de Fadinha."
"1649261312-290","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=10","Leandrinho","Basquete","Leandrinho
																													

														
															Basquete
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/leandro-mateus-barbosa/","Nome completo: Leandro Mateus Barbosa

                                                        
                                                        
                                                                                                                    Data de nascimento: 28/11/1982

                                                        
                                                                                                                    Local de nascimento: São Paulo, SP","O ala-armador iniciou sua carreira no Palmeiras em 1999 e depois passou pelo Bauru, entre 2001 e 2003, quando trocou o basquete brasileiro pelo norte-americano. Na NBA, Leandrinho se destacou no Phoenix Suns, tendo sido eleito melhor sexto homem da temporada 2006/07. Ainda defendeu as franquias do Toronto Raptors, Boston Celtics, Indiana Pacers e Golden State Warriors. Nesta última, foi campeão em 2014/15, num time comandando por Stephen Curry e Klay Thompson. Pela seleção brasileira, disputou os Jogos Olímpicos Londres 2012 e Rio 2016."
"1649261046-251","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=11","Marcos Soares","Vela","Marcos Soares
																													

														
															Vela
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/marcos-pinto-rizzo-soares/","Nome completo: Marcos Pinto Rizzo Soares

                                                        
                                                        
                                                                                                                    Data de nascimento: 16/02/1961

                                                        
                                                                                                                    Local de nascimento: Rio de Janeiro, RJ","Marcos Soares começou a velejar aos 13 anos. Seis anos mais tarde, conquistou a medalha de ouro nos Jogos Olímpicos Moscou 1980. Seu apelido era “Maizena”, pois diziam que “engrossava logo”. Seu temperamento era bem diferente do apresentado por Eduardo Penido, parceiro na conquista olímpica. Por ser muito jovem, a dupla recebeu a alcunha de “Meninos do Rio”."
"1649260505-174","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=14","Raquel Peluci","Vôlei","Raquel Peluci
																													

														
															Vôlei
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/raquel-peluci-xavier-camargo-da-silva/","Nome completo: Raquel Peluci Xavier Camargo da Silva

                                                        
                                                        
                                                                                                                    Data de nascimento: 30/04/1978

                                                        
                                                                                                                    Local de nascimento: Rio de Janeiro, RJ","Foi assistindo aos Jogos Olímpicos Seul 1988 pela televisão que Raquel tomou gosto pelo vôlei. Mal sabia que, passados três ciclos olímpicos, lá estaria ela conquistando a medalha de bronze em Sidney 2000. A partir de 2009, a jogadora se arriscou em uma nova modalidade esportiva: o vôlei de praia. Foram quatro anos de sucesso nas areias, chegando a vencer etapa do circuito nacional, até voltar às quadras."
"1649260440-164","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=14","Ricarda","Vôlei","Ricarda
																													

														
															Vôlei
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/ricarda-raquel-barbosa-lima/","Nome completo: Ricarda Raquel Barbosa Lima

                                                        
                                                        
                                                                                                                    Data de nascimento: 12/09/1970

                                                        
                                                                                                                    Local de nascimento: Brasília, DF","Ricarda viveu duas fases completamente distintas no vôlei. No início, destacava-se no ataque. Depois, uma lesão no ombro a obrigou a se tornar líbero para que sua carreira não fosse interrompida. Ao se especializar na defesa e na recepção, Ricarda foi convocada para disputar os Jogos Olímpicos Sidney 2000 e acabou premiada com a medalha de bronze. Após ficar grávida em 2002, a jogadora decidiu encerrar sua trajetória. Ainda assim, seguiu trabalhando com a modalidade esportiva: foi consultora da Escola de Vôlei Bernardinho, geriu uma vila olímpica no Distrito Federal, criou o projeto Brasília Vôlei, ao lado da amiga Leila, e trabalhou na Secretaria de Esportes do Distrito Federal."
"1649259974-97","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=16","Thaissa Barbosa Presti","Atletismo","Thaissa Barbosa Presti
																													

														
															Atletismo
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/thaissa-barbosa-presti-de-lima/","Nome completo: Thaissa Barbosa Presti de Lima

                                                        
                                                        
                                                                                                                    Data de nascimento: 07/11/1985

                                                        
                                                                                                                    Local de nascimento: São Paulo, SP","Thaissa morou no Japão entre os dois e os dez anos de idade. Aos 15, já no Brasil, passou a se dedicar ao atletismo. Em Pequim 2008, ajudou o revezamento brasileiro a conquistar a quarta colocação no 4x100m. Passados oito anos, viu uma injustiça histórica ser corrigida. O COI desclassificou a equipe da Rússia por doping, e a equipe brasileira, formada ainda por Rosangela Santos, Lucimar Moura e Rosemar Coelho, herdou a medalha de bronze."
"1649262641-481","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=3","Bruno Lins","Atletismo","Bruno Lins
																													

														
															Atletismo
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/bruno-lins-tenorio-de-barros/","Nome completo: Bruno Lins Tenório de Barros

                                                        
                                                        
                                                                                                                    Data de nascimento: 07/01/1987

                                                        
                                                                                                                    Local de nascimento: Maceió, AL","null"
"1649261825-363","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=7","Giba","Vôlei","Giba
																													

														
															Vôlei
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/gilberto-amauri-de-godoy-filho/","Nome completo: Gilberto Amauri de Godoy Filho

                                                        
                                                        
                                                                                                                    Data de nascimento: 23/12/1976

                                                        
                                                                                                                    Local de nascimento: Londrina, PR","Diagnosticado com leucemia aos seis meses de vida, Giba superou o primeiro obstáculo logo cedo. Curou-se em menos de um ano, pois a doença ainda estava em estágio inicial. No primeiro ano como profissional, outro problema: ao cair de uma árvore, levou 150 pontos e ficou quase duas temporadas afastado do esporte. Em 1990, mudou-se com a família para Curitiba e participou de sua primeira Superliga. Cinco anos depois, foi convocado para a seleção adulta. No período, o ponteiro conquistou os prêmios de melhor atleta de Atenas 2004, do Campeonato Mundial (2006), da Liga Mundial (2006) e da Copa do Mundo (2007)."
"1649260945-237","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=12","Marta Sobral","Basquete","Marta Sobral
																													

														
															Basquete
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/marta-de-souza-sobral/","Nome completo: Marta de Souza Sobral

                                                        
                                                        
                                                                                                                    Data de nascimento: 23/03/1964

                                                        
                                                                                                                    Local de nascimento: São Paulo, SP","Enquanto Paula, Hortência e Janeth comandavam a seleção brasileira no perímetro, Marta era a responsável por dominar o garrafão. Ainda assim, a pivô tinha como uma de suas virtudes os arremessos de longa distância. Receber a medalha de ouro nos Jogos Pan-americanos Havana 1991 das mãos de Fidel Castro foi um dos momentos mais emocionantes de sua carreira, assim como ter defendido a seleção brasileira ao lado da irmã Leila e ter conquistado duas medalhas olímpicas. Marta também foi a grande personagem da estreia do basquete feminino brasileiro em Jogos Olímpicos. Na vitória sobre a Itália, em Barcelona 1992, ela fez 20 dos 41 pontos da equipe no primeiro tempo."
"1649261542-324","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=9","Joana Cortez","Tênis","Joana Cortez
																													

														
															Tênis
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/joana-amorim-cortez-dos-santos/","Nome completo: Joana Amorim Cortez dos Santos

                                                        
                                                        
                                                                                                                    Data de nascimento: 11/01/1979

                                                        
                                                                                                                    Local de nascimento: Rio de Janeiro",""
"1649261260-282","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=10","Lorena Molinos","Nado Artístico","Lorena Molinos
																													

														
															Nado Artístico
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/lorena-fontes-molinos/","Time Brasil repete os resultados obtidos nos Jogos de Guadalajara 2011 e Toronto 2015","null"
"1649262264-426","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=5","Douglas Luiz","Futebol","Douglas Luiz
																													

														
															Futebol
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/douglas-luiz/","Nome completo: Douglas Luiz Soares de Paulo

                                                        
                                                        
                                                                                                                    Data de nascimento: 09/05/1998

                                                        
                                                                                                                    Local de nascimento: Rio de Janeiro, RJ","Douglas Luiz fez parte da seleção bicampeã de futebol em Tóquio 2020. O jogador começou na base do Vasco, em 2013. Após se destacar na equipe carioca, foi negociado com o Manchester City, em 2017, mas não recebeu chances no clube e acabou vendido para outro clube inglês: o Aston Villa."
"1649262496-460","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=4","Clínio Freitas","Vela","Clínio Freitas
																													

														
															Vela
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/clinio-marcelino-de-freitas-neto/","Nome completo: Clínio Marcelino de Freitas Neto

                                                        
                                                        
                                                                                                                    Data de nascimento: 08/01/1964

                                                        
                                                                                                                    Local de nascimento: Niterói, RJ","Formado em odontologia, Clínio de Freitas sempre precisou se dividir entre o consultório e a vela. Para os Jogos Olímpicos Seul 1988, foi convidado por Lars Grael para competir na classe Tornado. Juntos, eles conquistaram a medalha de bronze. A parceria se repetiu em Barcelona 1992, mas a dupla acabou fora do pódio. Depois, passou a competir ao lado da esposa Cláudia Swan, na classe Nacra 17."
"1649261193-272","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=10","Luísa Stefani","Tênis","Luísa Stefani
																													

														
															Tênis
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/luisa-stefani/","Nome completo: Luísa Veras Stefani

                                                        
                                                        
                                                                                                                    Data de nascimento: 09/08/1997

                                                        
                                                                                                                    Local de nascimento: São Paulo, SP","Luísa Stefani é a primeira tenista brasileira na história a ingressar no Top 20 do ranking de duplas da WTA. Ao lado de Carol Meligeni, Luísa foi medalhista de bronze nos Jogos Pan-americanos Lima 2019. E, dois anos mais tarde, ao lado de Laura Pigossi, conquistou a inédita medalha olímpica para o tênis nacional: bronze em Tóquio."
"1649259679-57","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=18","Zé Roberto Guimarães","Vôlei","Zé Roberto Guimarães
																													

														
															Vôlei
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/jose-roberto-lages-guimaraes/","Nome completo: José Roberto Lages Guimarães

                                                        
                                                        
                                                                                                                    Data de nascimento: 31/07/1954

                                                        
                                                                                                                    Local de nascimento: Quintana, SP","José Roberto Guimarães disputou os Jogos Olímpicos pela primeira vez em Montreal 1976, ainda como atleta. Dezesseis anos mais tarde, já como treinador, levaria a seleção masculina ao lugar mais alto do pódio em Barcelona 1992. Feito que repetiria nas edições de Pequim 2008 e Londres 2012, mas dessa vez com a equipe feminina. Trata-se do único brasileiro tricampeão olímpico da história. Em 2019, entrou para o Hall da Fama do COB."
"1649259729-63","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=17","Ygor Coelho","Badminton","Ygor Coelho
																													

														
															Badminton
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/ygor-coelho-de-oliveira/","Nome completo: Ygor Coelho de Oliveira

                                                        
                                                        
                                                                                                                    Data de nascimento: 24/11/1996

                                                        
                                                                                                                    Local de nascimento: Rio de Janeiro, RJ","Ygor começou no esporte na Associação Miratus, ONG criada por seu pai, Sebastião, que oferece aulas de badminton às crianças da comunidade da Chacrinha, no Rio de Janeiro. Aos 19 anos, tornou-se o primeiro atleta brasileiro a disputar os Jogos Olímpicos em sua modalidade, justamente em sua cidade-natal. Já nos Jogos Pan-americanos Lima 2019, obteve outro feito: conquistou a medalha de ouro inédita para o país na competição."
"1649262311-433","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=5","Diego Ribas","Futebol","Diego Ribas
																													

														
															Futebol
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/diego-ribas-da-cunha/","Nome completo: Diego Ribas da Cunha

                                                        
                                                        
                                                                                                                    Data de nascimento: 28/02/1985

                                                        
                                                                                                                    Local de nascimento: Ribeirão Preto, SP","Aos 17 anos, Diego já vestia a camisa 10 do Santos. Ao lado de Robinho, protagonizou uma das grandes conquistas do futebol brasileiro: sagrou-se campeão nacional em 2002, atuando por um time que foi apelidado de “Meninos da Vila”. Os garotos do Santos encantaram o país, e Diego acabou vendido para o Porto (Portugal), em 2004. Destacou-se no Werder Bremen (Alemanha), e no Atlético de Madri (Espanha). Pela seleção brasileira, foi campeão da Copa América de 2004 e 2007. Nos Jogos Olímpicos Pequim 2008, deixou sua marca na vitória por 3 a 0 sobre a Bélgica, que garantiu a medalha de bronze ao país."
"1649259851-81","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=17","Vicente Lenílson","Atletismo","Vicente Lenílson
																													

														
															Atletismo
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/vicente-lenilson-de-lima/","Nome completo: Vicente Lenílson de Lima

                                                        
                                                        
                                                                                                                    Data de nascimento: 04/06/1977

                                                        
                                                                                                                    Local de nascimento: Currais Novos, RN","Vicente Lenilson sempre foi apaixonado por velocidade. Porém, antes de se arriscar no atletismo, trabalhou como auxiliar de mecânico consertando motocicletas. Na pista, sua especialidade era a largada. Foi graças à velocidade de reação no início das provas que Vicente Lenilson garantiu um lugar na equipe brasileira. Encerrou a carreira em 2011, quando abriu um instituto para detectar novos talentos na modalidade."
"1649260008-102","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=16","Tande","Vôlei","Tande
																													

														
															Vôlei
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/alexandre-ramos-samuel/","Nome completo: Alexandre Ramos Samuel

                                                        
                                                        
                                                                                                                    Data de nascimento: 20/03/1970

                                                        
                                                                                                                    Local de nascimento: Resende, RJ","O ponteiro participou de três edições de Jogos Olímpicos (Barcelona 1992, Atlanta 1996 e Sidney 2000). Entre a segunda e a terceira, aventurou-se no vôlei de praia com o amigo Giovane Gávio. Além disso, foi campeão mundial ao lado de Emanuel e formou parcerias com Loiola, Pará, Pedro Cunha e Franco."
"1649263119-550","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=1","Alex Garcia","Basquete","Alex Garcia
																													

														
															Basquete
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/alex-ribeiro-garcia/","O torneio de Split é a última chance de vaga nos Jogos de Tóquio na modalidade; Brasil estreia nesta terça, dia 29","null"
"1649262667-485","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=3","Brunno Mendonça","Hóquei sobre Grama","Brunno Mendonça
																													

														
															Hóquei sobre Grama
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/brunno-da-silveira-mendonca/","Nome completo: Brunno da Silveira Mendonça

                                                        
                                                        
                                                                                                                    Data de nascimento: 07/01/1984

                                                        
                                                                                                                    Local de nascimento: Rio de Janeiro, RJ","Brunno Mendonça entrou para a história do hóquei sobre grama brasileiro, que participou pela primeira vez dos Jogos Olímpicos na edição do Rio 2016. O defensor ainda teve o privilégio de jogar em sua cidade-natal, com a torcida dos familiares. Brunno fez parte também da equipe brasileira que conquistou a inédita medalha de bronze nos Jogos Sul-americanos Cochabamba 2018."
"1649262616-478","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=4","Bruno Uvini","Futebol","Bruno Uvini
																													

														
															Futebol
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/bruno-uvini-bortolanca/","Nome completo: Bruno Uvini Bortolança

                                                        
                                                        
                                                                                                                    Data de nascimento: 03/06/1991

                                                        
                                                                                                                    Local de nascimento: Capivari, SP","null"
"1649262135-408","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=6","Emerson Duarte","Tiro esportivo","Emerson Duarte
																													

														
															Tiro esportivo
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/emerson-duarte/","Nome completo: Emerson Duarte

                                                        
                                                        
                                                                                                                    Data de nascimento: 18/10/1971

                                                        
                                                                                                                    Local de nascimento: Campinas, SP","Emerson Duarte tem a medalha de prata nos Jogos Pan-americanos Toronto 2015, na pistola de tiro rápido 25m, como melhor resultado a nível internacional. Outra conquista expressiva pelo Time Brasil foi o ouro nos Jogos Sul-americanos Santiago 2014."
